city,city_ascii,lat,lng,country,population
Tokyo,Tokyo,35.6897,139.6922,Japan,37977000
Ōsaka,Osaka,34.6936,135.5019,Japan,14977000
Nagoya,Nagoya,35.1167,136.9333,Japan,9113000
Yokohama,Yokohama,35.4333,139.6333,Japan,3748781
Fukuoka,Fukuoka,33.5903,130.4019,Japan,2128000
Sapporo,Sapporo,43.0621,141.3544,Japan,1958756
Kyōto,Kyoto,35.0111,135.7669,Japan,1805000
Kōbe,Kobe,34.6913,135.183,Japan,1522944
Kawanakajima,Kawanakajima,35.53,139.705,Japan,1437266
Saitama,Saitama,35.8617,139.6453,Japan,1307931
Hiroshima,Hiroshima,34.3853,132.4553,Japan,1306589
Sendai,Sendai,38.2683,140.8694,Japan,1058070
Kitaku,Kitaku,33.8704,130.82,Japan,997536
Chiba,Chiba,35.6,140.1,Japan,980203
Niigata,Niigata,37.9161,139.0364,Japan,796500
Hamamatsu,Hamamatsu,34.7167,137.7333,Japan,791770
Kumamoto,Kumamoto,32.8031,130.7078,Japan,739393
Sagamihara,Sagamihara,35.5667,139.3667,Japan,722828
Okayama,Okayama,34.65,133.9167,Japan,720865
Shizuoka,Shizuoka,34.9756,138.3825,Japan,691185
Honchō,Honcho,35.6947,139.9825,Japan,639107
Kawaguchi,Kawaguchi,35.8078,139.7242,Japan,592373
Kagoshima,Kagoshima,31.58,130.5281,Japan,595319
Hachiōji,Hachioji,35.6667,139.3167,Japan,577560
Utsunomiya,Utsunomiya,36.55,139.8833,Japan,519255
Matsuyama,Matsuyama,33.8333,132.7667,Japan,509139
Ichikawa,Ichikawa,35.7219,139.9311,Japan,495592
Higashi-ōsaka,Higashi-osaka,34.6794,135.6008,Japan,494640
Matsudo,Matsudo,35.7878,139.9031,Japan,492671
Nishinomiya-hama,Nishinomiya-hama,34.7333,135.3333,Japan,487413
Ōita,Oita,33.2333,131.6067,Japan,477701
Kanazawa,Kanazawa,36.5667,136.65,Japan,463873
Fukuyama,Fukuyama,34.4858,133.3625,Japan,462203
Machida,Machida,35.5486,139.4467,Japan,434407
Kashiwa,Kashiwa,35.8544,139.9689,Japan,429070
Toyota,Toyota,35.0833,137.1567,Japan,426477
Takamatsu,Takamatsu,34.35,134.05,Japan,418772
Toyama,Toyama,36.7,137.22,Japan,415816
Nagasaki,Nagasaki,32.7833,129.8667,Japan,411421
Gifu,Gifu,35.4167,136.7667,Japan,401534
Miyazaki,Miyazaki,31.9167,131.4167,Japan,398307
Minamisuita,Minamisuita,34.7667,135.5167,Japan,381829
Okazaki,Okazaki,34.95,137.1667,Japan,387294
Ichinomiya,Ichinomiya,35.3039,136.8031,Japan,379689
Toyohashi,Toyohashi,34.7667,137.3833,Japan,373234
Nagano,Nagano,36.6486,138.1928,Japan,370057
Wakayama,Wakayama,34.2333,135.1667,Japan,355825
Nara,Nara,34.6833,135.7833,Japan,353989
Koshigaya,Koshigaya,35.8911,139.7908,Japan,345458
Tokorozawa,Tokorozawa,35.7994,139.4689,Japan,341409
Ōtsu,Otsu,35.0167,135.85,Japan,342175
Kawagoe,Kawagoe,35.9177,139.4911,Japan,337931
Tamuramachi-moriyama,Tamuramachi-moriyama,37.41,140.38,Japan,340560
Iwaki,Iwaki,37.0333,140.8833,Japan,340231
Asahikawa,Asahikawa,43.7706,142.365,Japan,334692
Maebashi,Maebashi,36.3833,139.0667,Japan,332999
Kōchi,Kochi,33.5667,133.5333,Japan,328930
Naha,Naha,26.2122,127.6789,Japan,317606
Yokkaichi,Yokkaichi,34.9667,136.6167,Japan,310145
Kasugai,Kasugai,35.25,136.9667,Japan,306876
Akita,Akita,39.7197,140.1025,Japan,306178
Ōakashichō,Oakashicho,34.6431,134.9975,Japan,299094
Morioka,Morioka,39.6833,141.15,Japan,292554
Fukushima,Fukushima,37.7608,140.4733,Japan,286742
Aomori,Aomori,40.8222,140.7475,Japan,276567
Tsu,Tsu,34.7186,136.5056,Japan,275371
Fuchū,Fuchu,35.6689,139.4778,Japan,263932
Ichihara,Ichihara,35.4981,140.1156,Japan,270478
Mito,Mito,36.3667,140.4667,Japan,269661
Yao,Yao,34.6269,135.6008,Japan,266386
Kakogawachō-honmachi,Kakogawacho-honmachi,34.7569,134.8414,Japan,262308
Fukui,Fukui,36.0641,136.2196,Japan,262530
Hiratsuka,Hiratsuka,35.3231,139.3422,Japan,257729
Sōka,Soka,35.8256,139.8056,Japan,250939
Shinozaki,Shinozaki,33.95,130.9333,Japan,257038
Hakodate,Hakodate,41.7733,140.7261,Japan,256222
Tokushima,Tokushima,34.0667,134.55,Japan,255167
Chōfugaoka,Chofugaoka,35.6506,139.5408,Japan,239650
Yamagata,Yamagata,38.25,140.3333,Japan,249327
Chigasaki,Chigasaki,35.3339,139.4047,Japan,241887
Yato,Yato,35.4693,139.4616,Japan,237445
Fuji,Fuji,35.1614,138.6764,Japan,245078
Tsukuba-kenkyūgakuen-toshi,Tsukuba-kenkyugakuen-toshi,36.0333,140.0667,Japan,240987
Hachimanchō,Hachimancho,40.51,141.54,Japan,239046
Neya,Neya,34.7661,135.6281,Japan,229974
Sato,Sato,33.1631,129.7177,Japan,237444
Saga,Saga,33.2667,130.3,Japan,233514
Kasukabe,Kasukabe,35.9753,139.7525,Japan,229932
Ageoshimo,Ageoshimo,35.9775,139.5933,Japan,225907
Sakurazuka,Sakurazuka,34.8,135.3603,Japan,225008
Atsugichō,Atsugicho,35.4333,139.3667,Japan,224677
Minamiōzuma,Minamiozuma,36.2404,137.97,Japan,224926
Kure,Kure,34.2492,132.5658,Japan,218351
Itami,Itami,34.7867,135.4056,Japan,198395
Kamirenjaku,Kamirenjaku,35.6833,139.5594,Japan,192489
Matsue,Matsue,35.4681,133.0486,Japan,203565
Yachiyo,Yachiyo,35.7225,140.0997,Japan,197792
Nagareyama,Nagareyama,35.8561,139.9025,Japan,193976
Ashino,Ashino,42.975,144.3747,Japan,198566
Hino,Hino,35.6714,139.395,Japan,189945
Suzuka,Suzuka,34.8822,136.5842,Japan,195762
Kumagaya,Kumagaya,36.1472,139.3886,Japan,194959
Higashi-Hiroshima,Higashi-Hiroshima,34.4167,132.7333,Japan,195805
Naka,Naka,37.4504,138.86,Japan,195318
Yamaguchi,Yamaguchi,34.1781,131.4739,Japan,194990
Kawara,Kawara,35.2647,139.1522,Japan,190109
Anjōmachi,Anjomachi,34.9667,137.0833,Japan,188181
Jōetsu,Joetsu,37.15,138.2333,Japan,189881
Kōfu,Kofu,35.6667,138.5667,Japan,188406
Tottori,Tottori,35.5011,134.235,Japan,188740
Tachikawa,Tachikawa,35.6939,139.4194,Japan,180880
Izuo,Izuo,34.4836,135.4236,Japan,185208
Toyokawa,Toyokawa,34.8268,137.3759,Japan,183823
Uji,Uji,34.8808,135.7794,Japan,180975
Narashino,Narashino,35.6808,140.0267,Japan,173716
Hitachi,Hitachi,36.6,140.65,Japan,176069
Kamakurayama,Kamakurayama,35.3197,139.5525,Japan,172262
Ōbiraki,Obiraki,40.57,140.47,Japan,174972
Takaoka,Takaoka,42.6504,141.55,Japan,174806
Beppuchō,Beppucho,42.9304,143.17,Japan,173890
Izumo,Izumo,35.3681,132.755,Japan,172784
Sakura,Sakura,35.7239,140.2239,Japan,170906
